CRAFT_1,JEWELRY_0,JEWELRY_1,ART_0,ART_1,ID
1,0,1,1,0,0
1,0,1,1,0,1
1,0,1,1,0,2
1,0,1,1,0,3
1,0,1,1,0,4
1,0,1,1,0,5
1,0,1,1,0,6
1,0,1,1,0,7
1,0,1,1,0,8
1,0,1,1,0,9
1,0,1,1,0,10
1,0,1,1,0,11
1,0,1,1,0,12
1,0,1,1,0,13
1,0,1,1,0,14
1,0,1,1,0,15
1,0,1,1,0,16
1,0,1,1,0,17
1,0,1,1,0,18
1,0,1,1,0,19
1,0,1,1,0,20
1,0,1,1,0,21
1,0,1,1,0,22
1,0,1,1,0,23
1,0,1,1,0,24
1,1,0,0,1,25
1,1,0,0,1,26
1,1,0,0,1,27
1,1,0,0,1,28
1,1,0,0,1,29
1,1,0,0,1,30
1,1,0,0,1,31
1,1,0,0,1,32
1,1,0,0,1,33
1,1,0,0,1,34
1,1,0,0,1,35
1,1,0,0,1,36
1,1,0,0,1,37
1,1,0,0,1,38
1,1,0,0,1,39
1,1,0,0,1,40
1,1,0,0,1,41
1,1,0,0,1,42
1,1,0,0,1,43
1,1,0,0,1,44
1,1,0,0,1,45
1,1,0,0,1,46
1,1,0,0,1,47
1,1,0,0,1,48
1,1,0,0,1,49
